875	YsterplaatAirForceBase	Ysterplaat	SouthAfrica	\N	FAYP	-33.90019989	18.49830055	52	2	U	Africa/Johannesburg	airport	OurAirports
3881	YoungstownWarrenRegionalAirport	Youngstown	UnitedStates	YNG	KYNG	41.26070023	-80.67910004	1192	-5	A	America/NewYork	airport	OurAirports
12046	YoungAirport	Young	Australia	NGA	YYNG	-34.25559998	148.2480011	1267	\N	\N	\N	airport	OurAirports
6161	Yoshkar-OlaAirport	Yoshkar-Ola	Russia	JOK	UWKJ	56.70059967	47.90470123	348	3	N	Europe/Moscow	airport	OurAirports
2394	YoronAirport	Yoron	Japan	RNJ	RORY	27.04400063	128.4019928	52	9	U	Asia/Tokyo	airport	OurAirports
123	YorktonMunicipalAirport	Yorkton	Canada	YQV	CYQV	51.26470184	-102.461998	1635	-6	N	America/Regina	airport	OurAirports
5536	YorkLandingAirport	YorkLanding	Canada	ZAC	CZAC	56.08940125	-96.08920288	621	-6	A	America/Winnipeg	airport	OurAirports
6339	YorkeIslandAirport	YorkeIsland	Australia	OKR	YYKI	-9.752801	143.405673	10	10	O	Australia/Brisbane	airport	OurAirports
9863	FullSuttonAirfield	York	UnitedKingdom	\N	EGNU	53.980598	-0.864722	86	0	U	Europe/London	airport	OurAirports
6055	ElYopalAirport	Yopal	Colombia	EYP	SKYP	5.31911	-72.384	1028	-5	U	America/Bogota	airport	OurAirports
8845	LinglingAirport	Yongzhou	China	LLF	ZGLG	26.338661	111.610043	340	8	U	Asia/Shanghai	airport	OurAirports
2396	YonaguniAirport	YonaguniJima	Japan	OGN	ROYN	24.46689987	122.9779968	70	9	U	Asia/Tokyo	airport	OurAirports
277	YolaAirport	Yola	Nigeria	YOL	DNYO	9.25755024	12.43039989	599	1	N	Africa/Lagos	airport	OurAirports
2360	YokotaAirBase	Yokota	Japan	OKO	RJTY	35.74850082	139.3480072	463	9	U	Asia/Tokyo	airport	OurAirports
3898	AdiSutjiptoInternationalAirport	Yogyakarta	Indonesia	JOG	WARJ	-7.788179874	110.4319992	350	7	N	Asia/Jakarta	airport	OurAirports
