82 ButtonvilleMunicipalAirport Toronto Canada YKZ CYKZ 43.86220169067383 -79.37000274658203 650 -5 A America/Toronto airport OurAirports 
126 Sydney/J.A.DouglasMcCurdyAirport Sydney Canada YQY CYQY 46.1614 -60.047798 203 -4 A America/Halifax airport OurAirports 
197 SlaveLakeAirport SlaveLake Canada YZH CYZH 55.2930984497 -114.777000427 1912 -7 A America/Edmonton airport OurAirports 
28 CFBBagotville Bagotville Canada YBG CYBG 48.33060073852539 -70.99639892578125 522 -5 A America/Toronto airport OurAirports 
95 Ottawa/GatineauAirport Gatineau Canada YND CYND 45.521701812699995 -75.5635986328 211 -5 A America/Toronto airport OurAirports 
30 CampbellRiverAirport CampbellRiver Canada YBL CYBL 49.950801849365234 -125.27100372314453 346 -8 A America/Vancouver airport OurAirports 
43 BurwashAirport Burwash Canada YDB CYDB 61.37110137939453 -139.04100036621094 2647 -8 A America/Vancouver airport OurAirports 
174 LondonAirport London Canada YXU CYXU 43.035599 -81.1539 912 -5 A America/Toronto airport OurAirports 
157 BuffaloNarrowsAirport BuffaloNarrows Canada YVT CYVT 55.8418998718 -108.417999268 1423 -6 N America/Regina airport OurAirports 
166 SaskatoonJohnG.DiefenbakerInternationalAirport Saskatoon Canada YXE CYXE 52.170799255371094 -106.69999694824219 1653 -6 N America/Regina airport OurAirports 
22 Winnipeg/St.AndrewsAirport Winnipeg Canada \N CYAV 50.0564002991 -97.03250122070001 760 -6 A America/Winnipeg airport OurAirports 
129 Rivière-du-LoupAirport RiviereDuLoup Canada YRI CYRI 47.764400482177734 -69.58470153808594 427 -5 A America/Toronto airport OurAirports 
2 MadangAirport Madang PapuaNewGuinea MAG AYMD -5.20707988739 145.789001465 20 10 U Pacific/PortMoresby airport OurAirports 
190 KapuskasingAirport Kapuskasing Canada YYU CYYU 49.41389846801758 -82.46749877929688 743 -5 A America/Toronto airport OurAirports 
37 KugluktukAirport Coppermine Canada YCO CYCO 67.816704 -115.143997 74 -7 A America/Edmonton airport OurAirports 
29 BakerLakeAirport BakerLake Canada YBK CYBK 64.29889678960001 -96.077796936 59 -6 A America/Winnipeg airport OurAirports 
178 CalgaryInternationalAirport Calgary Canada YYC CYYC 51.113899231 -114.019996643 3557 -7 A America/Edmonton airport OurAirports 
45 DeerLakeAirport DeerLake Canada YDF CYDF 49.21080017089844 -57.39139938354492 72 -3.5 A America/StJohns airport OurAirports 
26 KugaarukAirport PellyBay Canada YBB CYBB 68.534401 -89.808098 56 -7 A America/Edmonton airport OurAirports 
132 RankinInletAirport RankinInlet Canada YRT CYRT 62.8114013672 -92.1157989502 94 -6 A America/Winnipeg airport OurAirports 
189 St.John'sInternationalAirport St.John's Canada YYT CYYT 47.618598938 -52.7518997192 461 -3.5 A America/StJohns airport OurAirports 
123 YorktonMunicipalAirport Yorkton Canada YQV CYQV 51.26470184326172 -102.46199798583984 1635 -6 N America/Regina airport OurAirports 
51 EstevanAirport Estevan Canada YEN CYEN 49.2103004456 -102.966003418 1905 -6 N America/Regina airport OurAirports 
127 QuesnelAirport Quesnel Canada YQZ CYQZ 53.026100158691406 -122.51000213623047 1789 -8 A America/Vancouver airport OurAirports 
3 MountHagenKagamugaAirport MountHagen PapuaNewGuinea HGU AYMH -5.826789855957031 144.29600524902344 5388 10 U Pacific/PortMoresby airport OurAirports 
74 AtikokanMunicipalAirport Atikokan Canada YIB CYIB 48.7738990784 -91.6386032104 1408 -5 A America/CoralHarbour airport OurAirports 
72 HayRiver/MerlynCarterAirport HayRiver Canada YHY CYHY 60.8396987915 -115.782997131 541 -7 A America/Edmonton airport OurAirports 
81 KindersleyAirport Kindersley Canada YKY CYKY 51.5175018311 -109.180999756 2277 -6 N America/Regina airport OurAirports 
75 PondInletAirport PondInlet Canada YIO CYIO 72.6832962036 -77.9666976929 181 -5 A America/Toronto airport OurAirports 
156 VancouverInternationalAirport Vancouver Canada YVR CYVR 49.193901062 -123.183998108 14 -8 A America/Vancouver airport OurAirports 
102 PeaceRiverAirport PeaceRiver Canada YPE CYPE 56.226898 -117.446999 1873 -7 A America/Edmonton airport OurAirports 
110 MuskokaAirport Muskoka Canada YQA CYQA 44.974700927734375 -79.30329895019531 925 -5 A America/Toronto airport OurAirports 
109 FortChipewyanAirport FortChipewyan Canada YPY CYPY 58.7672004699707 -111.11699676513672 761 -7 A America/Edmonton airport OurAirports 
64 GeraldtonGreenstoneRegionalAirport Geraldton Canada YGQ CYGQ 49.77830123901367 -86.93939971923828 1144 -5 A America/Toronto airport OurAirports 
79 WaterlooAirport Waterloo Canada YKF CYKF 43.460800170899994 -80.3786010742 1055 -5 A America/Toronto airport OurAirports 
97 OldCrowAirport OldCrow Canada YOC CYOC 67.57060241699219 -139.83900451660156 824 -8 A America/Vancouver airport OurAirports 
91 MoosoneeAirport Moosonee Canada YMO CYMO 51.291099548339844 -80.60780334472656 30 -5 A America/Toronto airport OurAirports 
191 ArmstrongAirport Armstrong Canada YYW CYYW 50.29029846191406 -88.90969848632812 1058 -5 A America/Toronto airport OurAirports 
170 PangnirtungAirport Pangnirtung Canada YXP CYXP 66.1449966431 -65.71360015869999 75 -5 A America/Toronto airport OurAirports 
194 DownsviewAirport Toronto Canada YZD CYZD 43.74250030517578 -79.4655990600586 652 -5 A America/Toronto airport OurAirports 
